Actual,2D,3D
13.04,47.907,5.136699
11.71,41.458,4.795151
17.42,60.891,6.453115
7.23,29.949,2.895239
10.03,41.616,3.672746
15.59,48.070,5.728880
9.94,34.717,3.987582
7.53,27.230,2.678423
12.73,52.712,5.481545
12.66,41.500,5.016762
10.53,31.216,3.942783
10.84,41.852,4.052638
13.12,44.608,5.334558
8.48,35.343,3.527926
14.24,47.481,5.679636
11.11,40.976,4.013992
15.35,65.361,5.565995
15.44,50.910,6.303198
5.67,22.895,1.928109
8.26,34.804,3.450164
10.95,37.156,4.707532
7.97,29.070,3.019077
7.34,24.590,2.768160
13.21,48.082,4.945743
7.83,32.118,3.138463
11.38,45.112,4.410797
11.22,37.020,4.558251
9.25,39.333,3.449867
13.75,51.351,5.609681
14.37,53.281,5.292105
